season,week,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,drive_stopper_score,total_impact_plays
2025,9,D.Henley,LAC,1,0,1,1,1,0,8.0,4
2025,5,S.Thompson,BUF,1,0,1,1,1,0,8.0,4
2025,14,V.Miller,WAS,1,0,1,1,1,0,8.0,4
2025,8,J.Hunt,PHI,1,0,1,1,1,0,8.0,4
2025,15,P.Wilson,PIT,1,0,1,1,1,0,8.0,4
2025,10,T.Tuipulotu,LAC,1,0,1,1,1,0,8.0,4
2025,9,D.Barnes,DET,0,0,1,1,2,0,8.0,4
2025,8,T.Wallace,CAR,1,0,1,1,1,0,8.0,4
2025,18,N.Herbig,PIT,1,0,1,1,1,0,8.0,4
2025,1,Qu.Williams,NYJ,1,0,1,1,1,0,8.0,4
2025,1,D.Lawrence,SEA,1,0,1,0,2,0,7.5,4
2025,15,D.Tranquill,KC,2,0,1,0,1,0,7.5,4
2025,15,D.Jones,BAL,0,0,5,0,0,0,7.5,5
2025,2,J.Stewart,LA,0,0,2,1,1,0,7.5,4
2025,10,U.Nwosu,SEA,1,0,1,0,2,0,7.5,4
2025,12,I.McDuffie,GB,3,0,1,0,0,0,7.5,4
2025,4,A.Carter,NYG,0,0,5,0,0,0,7.5,5
2025,6,D.Jones,TEN,0,0,2,1,1,0,7.5,4
2025,6,H.Landry,NE,0,0,2,1,1,0,7.5,4
2025,16,S.Dennis,TB,0,0,2,1,1,0,7.5,4
2025,13,Y.Diaby,TB,0,0,2,1,1,0,7.5,4
2025,13,J.Ward,TEN,0,0,2,1,1,0,7.5,4
2025,16,T.Tuipulotu,LAC,0,0,2,1,1,0,7.5,4
2025,7,B.Young,LA,1,0,2,1,0,0,7.5,4
2025,1,Y.Diaby,TB,0,1,2,0,1,0,7.5,4
2025,2,J.Greenard,MIN,0,0,2,1,1,0,7.5,4
2025,6,F.Oluokun,JAX,2,0,1,0,1,0,7.5,4
2025,3,L.David,TB,0,0,2,1,1,0,7.5,4
2025,4,A.Key,TEN,0,0,2,1,1,0,7.5,4
2025,12,M.Green,BAL,0,0,2,1,1,0,7.5,4
2025,1,J.Strnad,DEN,0,0,2,1,1,0,7.5,4
2025,18,J.Andreessen,BUF,1,0,1,0,2,0,7.5,4
2025,3,D.White,LV,1,0,1,0,2,0,7.5,4
2025,16,D.Jones,BAL,0,0,2,1,1,0,7.5,4
2025,11,J.Johnson,NYJ,0,0,2,1,1,0,7.5,4
2025,7,J.Stewart,LA,0,0,2,1,1,0,7.5,4
2025,3,R.Smith,BAL,2,0,1,0,1,0,7.5,4
2025,11,N.Dean,PHI,0,0,2,1,1,0,7.5,4
2025,11,K.Van Noy,BAL,0,0,2,1,1,0,7.5,4
2025,18,J.Verse,LA,0,0,2,1,1,0,7.5,4
2025,3,B.Burns,NYG,0,0,2,1,1,0,7.5,4
2025,4,J.Verse,LA,0,0,2,1,1,0,7.5,4
2025,12,D.Bush,CLE,0,0,2,1,1,0,7.5,4
2025,13,D.Tillman,DEN,0,0,2,1,1,0,7.5,4
2025,13,D.Thomas,SEA,0,1,2,0,1,0,7.5,4
2025,1,B.Young,LA,0,0,2,1,1,0,7.5,4
2025,18,D.Phillips,LAC,0,0,2,1,1,0,7.5,4
2025,10,N.Smith,PHI,1,0,2,1,0,0,7.5,4
2025,15,J.Harrell,TEN,0,0,2,1,1,0,7.5,4
2025,8,D.Jones,TEN,0,0,2,1,1,0,7.5,4
2025,10,K.Elliss,ATL,0,0,2,1,1,0,7.5,4
2025,18,N.Bonitto,DEN,0,0,2,1,1,0,7.5,4
2025,14,N.Dean,PHI,0,0,2,1,1,0,7.5,4
2025,5,J.Greenard,MIN,2,0,1,0,1,0,7.5,4
2025,6,A.Anzalone,DET,3,0,1,0,0,0,7.5,4
2025,12,D.Hall,SEA,0,0,2,1,1,0,7.5,4
2025,17,N.Landman,LA,2,0,1,0,1,0,7.5,4
2025,7,Q.Walker,GB,0,0,2,1,1,0,7.5,4
2025,7,S.James,DAL,0,0,2,1,1,0,7.5,4
2025,14,B.Young,LA,0,0,3,1,0,0,7.0,4
2025,18,C.Oliver,GB,1,0,2,0,1,0,7.0,4
2025,3,J.Campbell,DET,0,1,0,1,1,0,7.0,3
2025,3,Qu.Williams,NYJ,1,0,2,0,1,0,7.0,4
2025,21,K.Chaisson,NE,2,0,2,0,0,0,7.0,4
2025,11,J.Hunt,PHI,0,1,3,0,0,0,7.0,4
2025,16,A.Highsmith,PIT,0,0,2,0,2,0,7.0,4
2025,14,D.Davis,NO,1,2,0,0,0,0,7.0,3
2025,10,D.Winters,SF,1,0,2,0,1,0,7.0,4
2025,10,D.Lawrence,SEA,1,0,2,0,1,0,7.0,4
